Character (decimal)	Decimal	Character (hex)	Hex	Name
⡢	10338	⡢	2862	BRAILLE PATTERN DOTS-267
⡣	10339	⡣	2863	BRAILLE PATTERN DOTS-1267
⡤	10340	⡤	2864	BRAILLE PATTERN DOTS-367
⡥	10341	⡥	2865	BRAILLE PATTERN DOTS-1367
⡦	10342	⡦	2866	BRAILLE PATTERN DOTS-2367
⡧	10343	⡧	2867	BRAILLE PATTERN DOTS-12367
⡨	10344	⡨	2868	BRAILLE PATTERN DOTS-467
⡩	10345	⡩	2869	BRAILLE PATTERN DOTS-1467
⡪	10346	⡪	286A	BRAILLE PATTERN DOTS-2467
⡫	10347	⡫	286B	BRAILLE PATTERN DOTS-12467
⡬	10348	⡬	286C	BRAILLE PATTERN DOTS-3467
⡭	10349	⡭	286D	BRAILLE PATTERN DOTS-13467
⡮	10350	⡮	286E	BRAILLE PATTERN DOTS-23467
⡯	10351	⡯	286F	BRAILLE PATTERN DOTS-123467
⡰	10352	⡰	2870	BRAILLE PATTERN DOTS-567
⡱	10353	⡱	2871	BRAILLE PATTERN DOTS-1567
⡲	10354	⡲	2872	BRAILLE PATTERN DOTS-2567
⡳	10355	⡳	2873	BRAILLE PATTERN DOTS-12567
⡴	10356	⡴	2874	BRAILLE PATTERN DOTS-3567
⡵	10357	⡵	2875	BRAILLE PATTERN DOTS-13567
⡶	10358	⡶	2876	BRAILLE PATTERN DOTS-23567
⡷	10359	⡷	2877	BRAILLE PATTERN DOTS-123567
⡸	10360	⡸	2878	BRAILLE PATTERN DOTS-4567
⡹	10361	⡹	2879	BRAILLE PATTERN DOTS-14567
⡺	10362	⡺	287A	BRAILLE PATTERN DOTS-24567
⡻	10363	⡻	287B	BRAILLE PATTERN DOTS-124567
⡼	10364	⡼	287C	BRAILLE PATTERN DOTS-34567
⡽	10365	⡽	287D	BRAILLE PATTERN DOTS-134567
⡾	10366	⡾	287E	BRAILLE PATTERN DOTS-234567
⡿	10367	⡿	287F	BRAILLE PATTERN DOTS-1234567
⢀	10368	⢀	2880	BRAILLE PATTERN DOTS-8
⢁	10369	⢁	2881	BRAILLE PATTERN DOTS-18
⢂	10370	⢂	2882	BRAILLE PATTERN DOTS-28
⢃	10371	⢃	2883	BRAILLE PATTERN DOTS-128
⢄	10372	⢄	2884	BRAILLE PATTERN DOTS-38
⢅	10373	⢅	2885	BRAILLE PATTERN DOTS-138
⢆	10374	⢆	2886	BRAILLE PATTERN DOTS-238
⢇	10375	⢇	2887	BRAILLE PATTERN DOTS-1238
⢈	10376	⢈	2888	BRAILLE PATTERN DOTS-48
⢉	10377	⢉	2889	BRAILLE PATTERN DOTS-148
⢊	10378	⢊	288A	BRAILLE PATTERN DOTS-248
⢋	10379	⢋	288B	BRAILLE PATTERN DOTS-1248
⢌	10380	⢌	288C	BRAILLE PATTERN DOTS-348
⢍	10381	⢍	288D	BRAILLE PATTERN DOTS-1348
⢎	10382	⢎	288E	BRAILLE PATTERN DOTS-2348
⢏	10383	⢏	288F	BRAILLE PATTERN DOTS-12348
⢐	10384	⢐	2890	BRAILLE PATTERN DOTS-58
⢑	10385	⢑	2891	BRAILLE PATTERN DOTS-158
⢒	10386	⢒	2892	BRAILLE PATTERN DOTS-258
⢓	10387	⢓	2893	BRAILLE PATTERN DOTS-1258
⢔	10388	⢔	2894	BRAILLE PATTERN DOTS-358
⢕	10389	⢕	2895	BRAILLE PATTERN DOTS-1358
⢖	10390	⢖	2896	BRAILLE PATTERN DOTS-2358
⢗	10391	⢗	2897	BRAILLE PATTERN DOTS-12358
⢘	10392	⢘	2898	BRAILLE PATTERN DOTS-458
⢙	10393	⢙	2899	BRAILLE PATTERN DOTS-1458
⢚	10394	⢚	289A	BRAILLE PATTERN DOTS-2458
⢛	10395	⢛	289B	BRAILLE PATTERN DOTS-12458
⢜	10396	⢜	289C	BRAILLE PATTERN DOTS-3458
⢝	10397	⢝	289D	BRAILLE PATTERN DOTS-13458
⢞	10398	⢞	289E	BRAILLE PATTERN DOTS-23458
⢟	10399	⢟	289F	BRAILLE PATTERN DOTS-123458
⢠	10400	⢠	28A0	BRAILLE PATTERN DOTS-68
⢡	10401	⢡	28A1	BRAILLE PATTERN DOTS-168
⢢	10402	⢢	28A2	BRAILLE PATTERN DOTS-268
⢣	10403	⢣	28A3	BRAILLE PATTERN DOTS-1268
⢤	10404	⢤	28A4	BRAILLE PATTERN DOTS-368
⢥	10405	⢥	28A5	BRAILLE PATTERN DOTS-1368
⢦	10406	⢦	28A6	BRAILLE PATTERN DOTS-2368
⢧	10407	⢧	28A7	BRAILLE PATTERN DOTS-12368
⢨	10408	⢨	28A8	BRAILLE PATTERN DOTS-468
⢩	10409	⢩	28A9	BRAILLE PATTERN DOTS-1468
⢪	10410	⢪	28AA	BRAILLE PATTERN DOTS-2468
⢫	10411	⢫	28AB	BRAILLE PATTERN DOTS-12468
⢬	10412	⢬	28AC	BRAILLE PATTERN DOTS-3468
⢭	10413	⢭	28AD	BRAILLE PATTERN DOTS-13468
⢮	10414	⢮	28AE	BRAILLE PATTERN DOTS-23468
⢯	10415	⢯	28AF	BRAILLE PATTERN DOTS-123468
⢰	10416	⢰	28B0	BRAILLE PATTERN DOTS-568
⢱	10417	⢱	28B1	BRAILLE PATTERN DOTS-1568
⢲	10418	⢲	28B2	BRAILLE PATTERN DOTS-2568
⢳	10419	⢳	28B3	BRAILLE PATTERN DOTS-12568
⢴	10420	⢴	28B4	BRAILLE PATTERN DOTS-3568
⢵	10421	⢵	28B5	BRAILLE PATTERN DOTS-13568
⢶	10422	⢶	28B6	BRAILLE PATTERN DOTS-23568
⢷	10423	⢷	28B7	BRAILLE PATTERN DOTS-123568
⢸	10424	⢸	28B8	BRAILLE PATTERN DOTS-4568
⢹	10425	⢹	28B9	BRAILLE PATTERN DOTS-14568
⢺	10426	⢺	28BA	BRAILLE PATTERN DOTS-24568
⢻	10427	⢻	28BB	BRAILLE PATTERN DOTS-124568
⢼	10428	⢼	28BC	BRAILLE PATTERN DOTS-34568
⢽	10429	⢽	28BD	BRAILLE PATTERN DOTS-134568
⢾	10430	⢾	28BE	BRAILLE PATTERN DOTS-234568
⢿	10431	⢿	28BF	BRAILLE PATTERN DOTS-1234568
⣀	10432	⣀	28C0	BRAILLE PATTERN DOTS-78
⣁	10433	⣁	28C1	BRAILLE PATTERN DOTS-178
⣂	10434	⣂	28C2	BRAILLE PATTERN DOTS-278
⣃	10435	⣃	28C3	BRAILLE PATTERN DOTS-1278
⣄	10436	⣄	28C4	BRAILLE PATTERN DOTS-378
⣅	10437	⣅	28C5	BRAILLE PATTERN DOTS-1378
⣆	10438	⣆	28C6	BRAILLE PATTERN DOTS-2378
⣇	10439	⣇	28C7	BRAILLE PATTERN DOTS-12378
⣈	10440	⣈	28C8	BRAILLE PATTERN DOTS-478
⣉	10441	⣉	28C9	BRAILLE PATTERN DOTS-1478
⣊	10442	⣊	28CA	BRAILLE PATTERN DOTS-2478
⣋	10443	⣋	28CB	BRAILLE PATTERN DOTS-12478
⣌	10444	⣌	28CC	BRAILLE PATTERN DOTS-3478
⣍	10445	⣍	28CD	BRAILLE PATTERN DOTS-13478
⣎	10446	⣎	28CE	BRAILLE PATTERN DOTS-23478
⣏	10447	⣏	28CF	BRAILLE PATTERN DOTS-123478
⣐	10448	⣐	28D0	BRAILLE PATTERN DOTS-578
⣑	10449	⣑	28D1	BRAILLE PATTERN DOTS-1578
⣒	10450	⣒	28D2	BRAILLE PATTERN DOTS-2578
⣓	10451	⣓	28D3	BRAILLE PATTERN DOTS-12578
⣔	10452	⣔	28D4	BRAILLE PATTERN DOTS-3578
⣕	10453	⣕	28D5	BRAILLE PATTERN DOTS-13578
⣖	10454	⣖	28D6	BRAILLE PATTERN DOTS-23578
⣗	10455	⣗	28D7	BRAILLE PATTERN DOTS-123578
⣘	10456	⣘	28D8	BRAILLE PATTERN DOTS-4578
⣙	10457	⣙	28D9	BRAILLE PATTERN DOTS-14578
⣚	10458	⣚	28DA	BRAILLE PATTERN DOTS-24578
⣛	10459	⣛	28DB	BRAILLE PATTERN DOTS-124578
⣜	10460	⣜	28DC	BRAILLE PATTERN DOTS-34578
⣝	10461	⣝	28DD	BRAILLE PATTERN DOTS-134578
⣞	10462	⣞	28DE	BRAILLE PATTERN DOTS-234578
⣟	10463	⣟	28DF	BRAILLE PATTERN DOTS-1234578
⣠	10464	⣠	28E0	BRAILLE PATTERN DOTS-678
⣡	10465	⣡	28E1	BRAILLE PATTERN DOTS-1678
⣢	10466	⣢	28E2	BRAILLE PATTERN DOTS-2678
⣣	10467	⣣	28E3	BRAILLE PATTERN DOTS-12678
⣤	10468	⣤	28E4	BRAILLE PATTERN DOTS-3678
⣥	10469	⣥	28E5	BRAILLE PATTERN DOTS-13678
⣦	10470	⣦	28E6	BRAILLE PATTERN DOTS-23678
⣧	10471	⣧	28E7	BRAILLE PATTERN DOTS-123678
⣨	10472	⣨	28E8	BRAILLE PATTERN DOTS-4678
⣩	10473	⣩	28E9	BRAILLE PATTERN DOTS-14678
⣪	10474	⣪	28EA	BRAILLE PATTERN DOTS-24678
⣫	10475	⣫	28EB	BRAILLE PATTERN DOTS-124678
⣬	10476	⣬	28EC	BRAILLE PATTERN DOTS-34678
⣭	10477	⣭	28ED	BRAILLE PATTERN DOTS-134678
⣮	10478	⣮	28EE	BRAILLE PATTERN DOTS-234678
⣯	10479	⣯	28EF	BRAILLE PATTERN DOTS-1234678
